product_id,title,description,product_type,product_tags,product_collections,shopify_cdn_url,local_path
14976,trucotton midi length milkmaid dress,evoke effortless romance purple fronttie midi dress featuring square neckline delicate puff sleeve soft fronttie detail designed fitted bodice flowing flared hem timeless silhouette crafted breathable ecofriendly cotton allday elegance,Dress,"{'Colour': 'Purple', 'Print': 'Solid'}",the galentines brunch,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0369_2_512x.jpg?v=1738911926,D:\flickd\data_preprocessing\catalog_images.csv\14976.jpg
14977,trucotton embroidery detail midi dress,pink embroidered strappy midi dress elevates feminine charm sweetheart neckline delicate strap intricately embroidered finish crafted sustainable cotton promise ethereal yet modern aesthetic,Dress,"{'Colour': 'Pink', 'Print': 'Embroidery'}","chasing butterflies, date ready, kiss & tell, pink bloom, pink snow, the galentines brunch",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB7_d62c5ab2-8b3a-4bd2-97a9-7eddffabaae6_1600x.jpg?v=1739268311,D:\flickd\data_preprocessing\catalog_images.csv\14977.jpg
14978,blue straight flared denims,blue flared regular denim denim jean straight fit hem feature pocket crafted cotton sustainable choice,Jeans,"{'Colour': 'Blue', 'Print': 'Solid'}","brunch ready, date ready, midnight sapphire, mystic blue, snug season, soft romance, the boyfriend's hoodie, the denim drop, vacation vibe",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB7_16f8a6db-8a82-40a5-a704-2c59c43826a3_1600x.jpg?v=1739270355,D:\flickd\data_preprocessing\catalog_images.csv\14978.jpg
14980,blue strappy midi dress,blue strappy midi dress sweetheart neckline fitted flared silhouette crafted cotton dress sustainable ecofriendly,Dress,"{'Colour': 'Blue', 'Print': 'Embroidery'}","date ready, midnight sapphire, mystic blue, the bloom collective, the galentines brunch, vacation vibe",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB5_b002fb68-b0ea-413d-b01a-64ab48b1464b_1600x.jpg?v=1739271372,D:\flickd\data_preprocessing\catalog_images.csv\14980.jpg
14981,off-shoulder sweatshirt,tan offshoulder knitted sweatshirt feature long cuffed sleeve designed boxy fit asymmetric neckline crafted cottonrecycled poly blend sustainable ecofriendly,Top,"{'Colour': 'Tan', 'Print': 'Solid'}","date ready, snug season, the boyfriend's hoodie",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/web3_4c3551ed-70e4-4961-85e4-38b010323ffd_512x.jpg?v=1739269261,D:\flickd\data_preprocessing\catalog_images.csv\14981.jpg
14982,shorts pink pull-on shorts,pink pullon knitted short designed straight fit feature pocket crafted cottonrecycled poly blend sustainable ecofriendly fit,Shorts,"{'Colour': 'Pink', 'Print': 'Self Design'}","date ready, kiss & tell, pink bloom, pink snow, snug season, the boyfriend's hoodie",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/3_VWWSO2447404002_04890702-3fd2-4bff-9a4d-0fc08415a09f_1600x.jpg?v=1745851428,D:\flickd\data_preprocessing\catalog_images.csv\14982.jpg
14983,shorts blue pull-on shorts,blue pullon knitted short designed straight fit feature pocket crafted cottonrecycled poly blend sustainable ecofriendly fit,Shorts,"{'Colour': 'Blue', 'Print': 'Self Design'}","date ready, midnight sapphire, mystic blue, snug season, the boyfriend's hoodie, the galentines brunch",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/DSCF1677.jpg?v=1738770647&quality=60&width=512,
14984,hoodie cropped boxy pink hoodie,cropped pink knitted hoodie designed long cuffed sleeve feature boxy fit curved hemline crafted cottonrecycled poly blend sustainable fit,Top,"{'Colour': 'Pink', 'Print': 'Self Design'}","date ready, kiss & tell, pink bloom, pink snow, snug season, the boyfriend's hoodie",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4_VWWSS2447404002_0f20c628-a9c7-414d-8b53-cae6be40c455_1600x.jpg?v=1745851427,D:\flickd\data_preprocessing\catalog_images.csv\14984.jpg
14985,shirt rescued polyester abstract print shirt,abstract floral printed shirt shirt collar short sleeve regular fit crafted rescued polyester shirt offer durability longlasting wear straight hem,Shirt,"{'Colour': 'Teal', 'Print': 'Abstract'}","the classic edit, the white lotus",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0064_3_3d36854f-b9ee-4665-aae0-6cc8805b77a2_512x.jpg?v=1748851200,D:\flickd\data_preprocessing\catalog_images.csv\14985.jpg
14987,top rescued polyester abstract print top,modern minimalist statement abstract floral strappy top feature sleek vneckline sleeveless design cut straight hem refined fit crafted rescued poly ensures durability embracing consciously crafted approach,Top,"{'Colour': 'Teal', 'Print': 'Abstract'}",the white lotus,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0004_6.jpg?v=1737629516&quality=60&width=512,D:\flickd\data_preprocessing\catalog_images.csv\14987.jpg
